Region_Name,average_house_price,Lat,Long
Buckinghamshire,548918.8239,-0.80569,51.7697
Bromley,631972.9072,0.039246,51.3727
Brighton and Hove,475245.423,-0.15079,50.8465
Bridgend,213284.648,-3.61375,51.5606
Brent,699249.7869,-0.27568,51.5644
Bradford,216347.4534,-1.87389,53.8438
Bracknell Forest,514043.2576,-0.73363,51.4113
Bournemouth Christchurch and Poole,390255.5393,-1.84807,50.7461
Bolton,210864.8227,-2.47952,53.5845
Blaenau Gwent,141575.9937,-3.18592,51.7536
Blackpool,220558.7946,-3.02199,53.8216
Blackburn with Darwen,182939.5625,-2.4636,53.7008
Birmingham,304712.8301,-1.88141,52.484
Bexley,462175.3422,0.146212,51.4582
Bedford,356608.9548,-0.45463,52.1963
Bath and North East Somerset,444579.3795,-2.48654,51.356
Barnsley,179512.6199,-1.54925,53.5258
Barnet,821208.4511,-0.21819,51.6111
Barking and Dagenham,401804.5663,0.129479,51.5456
Argyll and Bute,326164.3895,-5.22114,56.2894
Angus,291556.2313,-2.8921,56.7252
Aberdeenshire,306639.2815,-2.79208,57.2347
